review_text,stars
تا نصفه های کتاب رو همینجوری به این انگیزه رفتم‌جلو که ببینم واقعا میخواد به کجا برسه؟! آیا واقعا به معنایی چیزی می رسه یا فقط نویسنده خواسته کوله باری از توهماتِ درهم و برهم و بی آدرس رو تقدیم مخاطب کنه!! اوایلش متوجه شدم که قطعا این همه واژه هایی که با قرار گرفتن های بی ربط کنار هم، جملات بی ربط تری رو می سازن، آبستن یه معنایی هستن و در واقع نمادن اما واقعا توقع نداشتم تا نزدیک به نصف کتاب، مختص به چنین چیزی باشه و مخاطب رو هوا باشه!! به وضوح مشخص بود نویسنده در تلاشه قبح خیلی از چیزها رو بریزه چرا که مثلا هیچ دلیلی نداره نویسنده، همسر شخصیت اول داستان رو، خواهر شیریش قرار بده!!! اینکه تمسخر و دهن کجی و زیرسوال بردن خیلی از مقدسات و بدیهیات مردم کشورش جزو محوری ترین سوژه های داستانش بود هم در لابه لای جملاتش فریاد می زد؛ اینکه چرا ؟ الله اعلم... در کل به آخرای داستان که رسیدم کمی دلم برای شخصیت اول داستان گرفت، سوخت و کمی بغض فرو داد ولی واقعا اونقدری که از یه کتاب معروف انتظار می رفت نبود... کتاب قراره انسان رو رشد بده، تعالی بده، نگاهش رو زیبا کنه، نه اینکه با انتقال خرواری از تاریکی، پوچی، سردرگمی، ناکامی، معانی رکیک، آشفتگی و پریشانی خواننده رو تنها بزاره و پایان داستان... .,1
من، چندین کتاب آقای هدایت رو خوندم، متاسفانه پوچ گرایی توی نوشته هاشون موج میزنه، و ناامیدی از زندگی و در نهایت خودکشی، توی کتاب های صادق هدایت نباید دنبال، ارزش و هدف بود,1
با احترامی که به تمام سلیقه ها دارم ولی معتقدم وقتی آدم بخواد یه کتابی رو بخونه حداقل باید به چندین موضوع دقت کنه.مثلا اینکه از خوندنش لذت ببره و اون کتاب حال اش رو خوب کنه.یا اینکه یه مطلب آموزنده هرچند کوچک ولی مهم و پر کاربرد مفید یاد بگیره که چه بسا رمان هایی که از بعضی از کتاب های روانشناسی تاثیرگذاری بیشتری دارند.(به دلیل سبک زیبای داستانی شون) و موارد دیگه. این کتاب حال من رو خوب نکرد و حتی حس بدی رو بهم منتقل میکرد.هیچ مطلب آموزنده ای هم نداشت. وقت آدم ارزش اش خیلی بیشتر از این حرفاست.,1
"من از این کتاب متنفرم از کتاب هایی که معلوم نیس چی میخوان بگن از فضاهای تاربک و مبهم بدم میاد این کتاب رو که میخوندم شبا کابوس میدیدم نصفه کاره ولش کردم به قول سهراب "" و نخوانیم کتابی که در آن باد نمی آید و در آن پوست شبنم تر نیست"" تمام عالم هم بگن کتب خوبیه من میگم نه این بدترین چیزیه که تا حالا خونده بودم",1
اگر چه کتاب از نظر ادبی جزء آثار شاخص است، اما از نظر محتوا، فضای تاریک و خفقان آوری را به تصویر می‌کشد. (که البته، طبق دیدگاه صاحب‌نظران و معاصران هدایت، بازتاب شرایط زندگی خود هدایت بوده است.) وقتی کتاب را می‌خوانی، گویی در یک اتاق کثیف، وهم آور، پر دود و متزلزل نشسته‌ای. حتی دختر اثیری را هم که نگاه والایی به او دارد، نهایتا با شراب زهرآگینی که شاید عصاره زندگی مادرش بوده، از بین می‌برد. شخصیت اول، نه تنها از بانوان زندگی اش ناکام است (که البته همگی آن زن‌ها یکی هستند، چنان که همه مردها یکی هستند) حتی از داشتن مادرش، بلکه تقریبا از تمام دنیا و تمام انسان‌ها ناکام و سرخورده است. حتی با خودش هم ارتباط برقرار نمی‌کند.آن جا که می‌گوید نمی‌توانم در آینه نگاه کنم. فقط با سایه‌اش ارتباط دارد و دردش را برای او بازگو می‌کند. فلاکت روی فلاکت.,1
"نوشتن درباره بوف کور خیلی سخته و کمتر کسی میتونه ادعا کنه که این کتابو فهمیده.اگه سابقه چندانی در رمان خواندن ندارید و به قولی کتابخوان نیستید یا شرایط روحی چندان خوبی نداریداز همین راهی که امدید برگردید.دلیلش هم واضح است درون مایه اکثر داستان های هدایت مرگ اندیشی (یادم میاد وقتی ۱۶سالم بود زنده بگور را خواندم و انچنان هدایت در ان از مرگ شیرین صحبت میکرد که هوس میکردم مرگ را یک امتحان بکنم)انتقاد از جامعه و دین و خرافه پرستی ان هم با زبانی تند عمیق و مفهومیست و بوف کور سرآمد تمام نوشته های هدایت است یک رمان عمیق و مفهومی است که سرتاسر آن نمادهای مختلف به کار گرفته شده است و مفاهیم عجیبی را بیان میکند.اما اگه کتابخوان هستید و به دنبال تجربه های متفاوتید و دوست دارید دنیا را از نگاه های متفاوت ببینید بوف کور میتواند تجربه جالبی باشد‌احساسی که پس از خواندن بوف کور به دست می‌آورید یک احساس ناب و درجه یک است که کمتر کتابی، مخصوصا در بین رمان‌های ایرانی، می‌تواند آن را به شما بدهد. جهان‌بینی صادق هدایت در بوف کور بسیار خاص است و هر فرد علاقه‌مندی را شگفت‌زده می‌کند.به این حاشیه های اطراف هدایت و بوف کور هم توجه نکنید اکثر انها توسط کسانی نوشته شده است که حتی یکبار هم بوف کور را کامل نخواندن یا از اول با دیدی منفی ونقادانه سراغ رمان رفته اند.من هم با بسیاری از دیدگاه های هدایت موافق نیستم اما دوست دارم گاهی اوقات جای هدایت بنشینم و با طرز فکر او زندکی را معنا کنم.اصلن فایده رمان خواندن همین است دیگر. این دو مقاله زیر هم به تحلیل هدایت و بوف کور پرداخته اند خواندنشان خالی از لطف نیست داستان یک روح – شرح و متن کامل بوف کور صادق هدایت نوشته سیروس شمیسا صادق هدایت و هراس از مرگ، ساخت‌ شکنی روان‌ تحلیلگرانهٔ بوف کور نوشته محمد صنعتی . راستی اگه از این سبک نوشتاری خوشتان امده خواندن کتابهای ""سقوط""آلبر کامو و ""نامیرا"" آندره ژید میتونن تجربه های خوبی براتون باشند.",5
من به دنبال راهی برای فرار از این مدل زندگی بودم نه تسلیم شدن در برابرش برای کسایی که خوندن داستانای غمگین و پراز ناامیدی اذیتشون میکنه اصلا توصیه نمیکنم,3
این کتاب بخاطر سورئال بودنش طرفدارهای خودش رو داره . برای افرادی که تازه به کتاب خوندن روی آوردن خیلی مناسب نیست . خواننده این کتاب باید قدرت تجزیه تحلیل رو داشته باشه و با کتابهایی با این سبک آشنایی داشته باشه وگرنه کاملا داستان براش سردرگم کننده و نامفهومه .,3
باید حقیقت رو ببینیم هم حقیقت های تلخ و هم حقیقت های شیرین دیدن حقیقت های تلخ ، راحت تر و دم دست تره افراد موفق، کسانی اند که حقیقت های شیرین رو دیدند این کتاب نه حقیقت شیرینی رو میگه و نه حقیقت تلخی فقط وهم یه آدم افسرده رو به تصویر می کشه و عجیب تر از کار نویسنده این کتاب، اینه که بعضی از ما هم دوست داریم اینا رو باور کنیم! من هیچ چیز مفید فرهنگی در این کتاب ندیدم. نخونیدش,1
وقتی کامنتارو میبینم از کتاب خوندن دل زده میشم هرکس حق داره نظرشو درمورد کتاب بگه ،اینهمه توهین و بی احترامی جای تاسف داره واقعا ، کاش یکم روی حرف زدنامون دقت کنیم,1
بنظرم اعتقادات هم از مدل گوسین آمار پیروی میکنه. عده محدودی هستن خیلی تو فاز پوچی و این مدل داستان های هدایت و اینا هستن و عده محدودی هم هستن خیلی مذهبین ولی اکثریت ی چیزی وسط این دوتان خب منم جزو اکثریتم و حالم بهم میخوره از این کتابای مسخره 🤔 نمی‌دونم این مدل داستانی رو یکی باید بنویسه که چی بشه؟ خب افسرده ای برو دکتر دلیلی که نداره شروع کنی با روح و روان مردم بازی کردن 😔 این نکته رو هم باید دقت داشت هر کسی این کتاب رو میخونه و می‌فهمه آدم فهمیده ای نیست و بیشتر آدم افسرده و شکست خورده ایه که با این متنا ارتباط عمیق می‌تونه برقرار کنه . خیلی به خودتون افتخار نکنین🤔,2
فهمیدن بعضی کتاب ها ، بعضی کارهای خاص رو‌ می طلبه اول اینکه آب شنگولی بخوری ، عقلت زایل شه بعد تریاک بکشی ، شنگول شی بعد به این نتیجه برسی که پوچ هستی و همه چی پوچه بعد هم خودت رو راحت کنی ( و صد البته دیگران رو) این کتاب از اون کتاب هاست برای همین چیزهاست که فهمیدنش کار ماها نیست متاسفانه,1
فارغ از نقد و لایه های معنایی جملات و داستات کتاب... کتاب رو که می خونی،احساس می کنی روحت کدر کدر داره میشه. نپسندیدم,1
هرکس یه جور طرز نگاه و سلیقه داره،و به نظرم این زیبایی جهانه که چند جور دیدگاه متفاوت وجود داره که باهم دچار چالش میشن. اما من خودم به شخصه این کتاب و دوس نداشتم! فکر میکنم آدم میتونه خوش باشه و از چیزای کوچیک لذت ببره تا بخواد به قول بازاریا بزنه تو سر مال!:) شاید این کتاب ده سال پیش،بیست سال پیش خوب بوده باشه ولی الان با این حجم عظیم از گرفتاری های مختلف حس میکنم یه چیزی باید باشه که آدمو به فرا رسیدن زندگی بهتر و همه چی اینجوری نمی مونه امیدوار کنه.نه هی آدمو دلسرد تر کنه. وقتی خوشیای بزرگ نداریم(سفر به دور دنیا،رژه ماشینای میلیاردی تو خیابونای لاهیجان😉،تله کابین سواری و...)در عوض کلی مشکلای بزرگ داریم،بهتره با دیدن همین آفتاب بخندیم.😊😇🌻🍊🌞,1
نویسنده ای چیره دست اما وقتی وارد میشه به اعتقادات یکسری اقشار اونجاست که کتاب خراب میشه تشبیه اذان به صدای سگ یا روابط جنسی با پسر بچه .. با روح جامعه ما در تعارض هست,1
بوف کور اثریست که هنوز پس از دهه ها در باره اش بحث است.همین اثر باعث شد تا برخی هدایت را یک روانی بنامند.ولی آیا براستی چنین است؟بنده از نوجوانی تا کنون بیش از بیست بار آنرا خوانده و با بسیاری در موردش بحث کرده ام. کسی نمی‌داند ولی شاید همانند سهراب سپهری که مطابق اظهارات و نامه به خواهرش که بیان داشته من این اشعار را برای دل خودم سروده ام نه برای چاپ شدن و لزوما درک خوانندگان از آثارم.شاید هدایت نیز این کتاب را برای خود خودش نوشته شاید هم قصدش این بوده تا بقول مولانا هرکسی از ظن خود شد یار من هر خواننده ای که در آن تأمل و تفکر کند از فهم و جهان بینی خویش مفهومی از بوف کور بیرون آورد از برای خودش نه دیگری. من که پس از سالها خواندن و باز خواندن این کتاب به یک خط از شعر شاسوسای سهراب رسیدم که فرموده میان دو لحظه پوچ در آمد و رفتم ولی در کل قدرت ذهنی و به پرواز در آوردن هدایت در این کتاب بسیار عجیب و در خور تمجید است,5
واقعا کتاب کسل کننده و یکنواختی بود. با کلی تشبیهات تکراری و حوصله سر بر. کل هنرش هم تکیه بر المان شهوت و توهم بود. کتابی که داره فقط توهمات و حالات نعشگی و خماری ی معتاد روان پریش که دچار بیماری جنسی و خودخوری شخصیتی هست رو بازگو میکنه👎👎👎👎👎👎 من به هر کی میخواد این کتاب رو بخونه توصیه میکنم نخونه. نه تنها چیزی از دست نمیده، بلکه چیزای زیادی رو نگه میداره. یکی طراوت و شادابی روحی و امید به زندگی . ولی کسایی که میخوان خودکشی کنن و منتظر ی اشاره برا تصمیم نهایی هستن حتما بخونن😬,1
داستان هم مثل چاقو دو جنبه دارد. یک جنبه برای پوست کردن میوه و یک جنبه برای جنایت. صادق هدایت در داستان هایش از جنبه منفی کاملا آگاهانه استفاده میکرده. کتابهای ایشون رو فقط برای تکنیک های داستان نویسی باید مطالعه کرد. قطعا با خواندن چندین داستان او، مخاطب عام دچار گیجی خاصی میشه که همه اعتقاداتش رو به بازی میگیره.,1
امان از تعصب . چه روی دین باشه چه روی شخص هردو صورت جهله . هدایت تو بعضی داستاناش متعصبای مذهبی رو به باد سخره میگیره اما همون کسایی که اونارو خوندن به هوای طرفداری از هدایت در مقابل نظرات مخالف تبدیل به یک ادم متعصب میشن,5
صادق هدایت یک افسرده است ک فرجامـ ناگوارش خودکشی بوده...و من زتدگی را دوست دارن زیرا ب اندازه سیاهی رنگ های دیگری هم دارد,2
کاش زودتر از اینها میخوندمش,5
خواندن توصیف این حجم از خشونت و خیانت و افعال چندش آور اصلاً برای من جالب نبود....اگر امکان داشت ستاره نمیدادم,1
به نصفش هم نتونستم برسم..اصلا دوست داشتنی نیست و به شدت حالمو بد کرد,1
اینکه کتاب های صادق هدایت که جزو فرقه نهیلیست ها بوده رو تبلیغ میکنید آیا تبلیغ خودکشی نیست ؟؟؟ این آدم چه گلی به سر خودش زده که به سر دیگران بزنه؟؟ مگه هرکی بلده خوب بنویسه به درد بشریت میخوره؟؟فرهنگ منهای اخلاق یعنی نیستی همون اعتقادات صادق هدایت,1
کاری ندارم خود نویسنده کی بوده از ایرانی ها خوشش میومده یا نه نظرش درباره اسلام چی بوده و ... کلا اگه ما به این موضوع باور داشته باشیم که هر چیزی که ما در زندگی درگیرش میشیم، بهش فکر میکنیم و باهاش کلنجار میریم در زندگی ما تجلی پیدا می‌کنه بیشتر از ۹ صفحه از کتاب رو نمیخونیم این کتاب فضای کلی افسردگی و ناامیدی داره که هرچقدر و به هر بهانه ای باهاش دست و پنجه نرم کنیم بیشتر دچارش میشیم و آینده ما با همین دیدگاه ها و طرز فکرهاست که ساخته میشه این فضای داستانی خیلی به شخصیت خود نویسنده مرتبطه؛ انسان افسرده ای که دیدگاهش به دنیا بدون خداست و در نتیجه به پوچی و افسردگی میرسه نتیجه زندگی بدون خدا همین ناراحتی هاست که در همین متن‌ها و کتاب ها تجلی پیدا می‌کنه و متاسفانه بعضی ها به بهانه جهانی شدن کتاب براش امتیازات ویژه‌ای قائل میشن درحالی که باید دلیل جهانی شدنش رو دید اونم اینه که بی خدایی در همه جای دنیا وجود داره و آنهایی هم که از ترجمه کتاب استقبال کردن خودشون در زمره همین افراد بی خدا قرار میگیرن که اتفاقا اونها هم افسردگی دارن به هر حال این نظر شخصیمه و سعی نکردم نظرم رو به بقیه تحمیل کنم چون معتقدم هر کسی به اتفاقات، جریانات و احساساتی در زندگیش میرسه که همیشه در ذهنش پرورونده و با یک نظر ساده ده بیست خطی تغییر آنچنانی در تصمیمش ایجاد نمیشه🤗,2
خیلی سیاه,1
نخوندم یه نمونه خوندم مصمم شدم که نخونم کلا نوشته های هدایت رو نمیپسندم دوست دارم کتابی که میخونم محتوای امیدوارانه داشته باشه و نوشته های هدایت کاملا برعکسه وخیلی هم متفاوت و همین طورکه میبینم علت مرگ هم خودکشی بوده,1
به شدت مزخرف و سیاه فقط به درد کسی میخوره که قصد خودکشی داره. هر کتابی ارزش خوندن نداره. همونطور که انسان هر چیزی رو نمی خوره هرچیزی رو هم نباید وارد مغزش کنه بعضی کتاب ها حکم سم رو برای مغز دارند. حیف وقت که صرف آثار این آدم شه. یه ستاره زوری فقط جهت درج نظر داده شد.,1
فوق العاده کتاب بی معنی,1
فقط می‌ترسم که فردا بمیرم و هنوز خودم را نشناخته باشم 👌🏼,5
داستان ثقیل و عجیبیه! یه قسمتایی از متن غرق داستان میشی یهو میبینی از یه فضا رفتی یه فضای دیگه ولی متوجه نشدی کی این اتفاق افتاده!,4
با تمام احترامی که برای هنر آقای هدایت قائلم ، ولی ایشون یک انسان روان پریش و بیمار بودند . اکثر نوشته هاشون هم برآمده از این فکر پریشانه . آدم زندگی نامه خود نوشتش رو که می خونه دلش می سوزه . دوست داشتم در زمان ایشون بودم و باهاشون صحبت می کردم و اگر کاری از دستم بر می اومد براشون انجام می دادم . با خواندن رمان های ایشون آدم نمی دونه از فرم لذت ببره یا از محتوا حالش بد بشه ؛ البته همیشه تأثیر محتوا از غالب و فرم بیشتره . اصطلاحا لفظ فانی در معناست و نهایتا معانی تاثیر منفی خودشون رو می گذارند . در مقابل رمان هایی که برآمده از یک روح پرنشاط و با امید و مومن هستند ، آرامشی به روانی آب به انسان هدیه می دن . کتاب هایی مثل من او ، رویای نیمه شب ، نامیرا ، جشن حنابندان ، دیدم که جانم می رود و ... کتابهایی که مملوند از عشق و پاکی و اخلاق و صفا و مهربانی . امیدوارم زندگیتون همیشه مملو از آرامش و امید باشه,1
یک مزخرف سیاه و پوچ و بی معنا,1
احساس می کردم دورانی که دوستان با متوجه نشدن کتاب و مفهوم ارائه شده نظرات روشن فکر گونه بدهند و با چیدن کلمات به اصطلاح قلبمه سلمبه عقاید و بنیاد های دیگران را به چالش بکشند و به به و چه چه راه بیندازند به اتمام رسیده ، اما متاسفانه به وضوح اشتباه کردم چون هنوز هم درگیر این موضوعات هستیم و متوجه عمق این اشتباه نشدیم. دوستانی که برای وقتشون ارزش قائل هستند یا به دنبال کتاب مفید نه صرفا گیج کننده می باشن ، به هیچ وجه این کتاب رو مطالعه نکنن.,1
مورد علاقه من نبود,2
کسی مجبورتان نکرده که حرف بزنید، مثل این می‌ماند که بروید وسط اپرا داد بزنید این موسیقی بیهوده است، شما به آنجا تعلق ندارید فقط همین، تشریفتان را ببرید در کوچه نوای تنبک گوش بدهید. باید فکر کنم، بیافرینم و قدردان باشم. هم به جای خود و هم به جای کسانی که در طول عمر مبارک حتی یک جمله خلق نکرده اما کافکا و هدایت را سخیف می‌شمارند. کسانی که با شکم و زیرشکم می‌اندیشند.,5
خیلی بی محتوا بود,2
یک ستاره! بله یک ستاره! و خواندنش را برای عموم توصیه نمی کنم! هرچند یک نوشته از جنبه های گوناگون ذهنی و روانشناختی، ادبی، اجتماعی و فلسفی قابل مطالعه و مناظره است، لیکن ورای مطالعات، نمی توان اثرات مستقیم هر نوشته را که از سنخ حالات و درونیات و احوال آدمی است را نادیده گرفت! چه برخی از صفات و بیماری ها از اخلاط و ترشحات و اجزای موجودی زنده به دیگری منتقل می شود. هدایت! در این کتاب روایتی سیال از ذهنی جنبده و در عین حال آغشته به تالمی عمیق و رنجی بی پایان از سقوط فلسفی و اخلاقی دارد و همانطور که خود اذعان می کند وامانده از پاسخ به سوالی اساسی، دست به انتحار فلسفی زده و آشکارا دم از هراس صحت ادعای «زندگی دوباره» می زند! ذهن در پایین ترین و مملوس ترین حد انتظار و نیاز بدن بیمارگونه می لولد و گاه به پس یا پیش می دود و گاه آرام می گیرد.. فلسفه ای تهی از فلسفه، و مرکب از خواهش و ترس بدن.,1
صادق هدایت نویسنده ای بسیار ماهر و تواناست و بی اندازه باهوشه، اما متاسفانه من از سبک سئورئال ، تاریک و پوچ گرایانه ایشون لذت نمی برم و خواندن بوف کور برای من تجربه نفرت انگیزی بود. نتونستم با این کتاب ارتباط برقرار کنم. البته آقای هدایت طرفدارانی دارن که اکثرا برخلاف ایشون رفتار می کنن: طرفدارانی مسموم و متعصب که فکر می کنند چون از چیزی خوششان آمده دیگه خیلی خاص و تافته جدا بافته شدن-درصورتی که آدمهای متعصب بازندگانی بیش نیستند-!(نمیگم همه، یه سری) توقع نداشتم این حجم از کوته فکری و توهین رو در بخش کامنتها ببینم. چقدر خوب میشه که همه به نظرات هم احترام بذاریم.,5
من خیلی با زور تا آخرش رو خوندم و دوسش نداشتم حقیقتا ، ولی خوب سبک نوشتنش برام جالب بود ولی داستان رو دوست نداشتم 😬 پ.ن : یکی از دلایلی که اپلیکیشن های دیگه رو به طاقچه ترجیح میدم اینکه هروقت نظرات طاقچه رو می خونم از این همه حجم انتقاد ‌و خشونت کلامی و لحن های بد حالم بد میشه ، تو اپلیکیشن کتابخوانی هم باید این همه عجولانه و متعصبانه بهم پریم و انتقاد کنیم ؟؟؟ اینجا هم ؟؟؟,2
"""تنها چیزی که از من دلجویی میکرد، امیدِ نیستی پس از مرگ بود..."" باورم نمیشه یه نفر تونسته انقدر فضای غم و ناامیدی رو توصیف کنه.. به زبون بیاره.. یعنی چی تو افکار خود هدایت بوده که نوشته هاش اینه.. کاشکی زنده بود و میشد باهاش صحبت کرد.. خیلی متن ادبی قوی‌ای بود.. جملات و توصیفات و همش فوق‌العاده بود واقعا.. خیلی خُوف بود.",5
